Date,AAPL,MSFT,GOOGL,AMZN,TSLA
6/1/2023,180.0899963,332.5799866,123.7200012,122.7699966,207.5200043
6/2/2023,180.9499969,335.3999939,124.6699982,124.25,213.9700012
6/5/2023,179.5800018,335.9400024,126.0100021,125.3000031,217.6100006
6/6/2023,179.2100067,333.6799927,127.3099976,126.6100006,221.3099976
6/7/2023,177.8200073,323.3800049,122.5,121.2300034,224.5700073
6/8/2023,180.5700073,325.2600098,122.1399994,124.25,234.8600006
6/9/2023,180.9600067,326.7900085,122.2300034,123.4300003,244.3999939
6/12/2023,183.7899933,331.8500061,123.6399994,126.5699997,249.8300018
6/13/2023,183.3099976,334.2900085,123.8300018,126.6600037,258.7099915
6/14/2023,183.9499969,337.3399963,123.6699982,126.4199982,256.7900085
6/15/2023,186.0099945,348.1000061,125.0899963,127.1100006,255.8999939
6/16/2023,184.9199982,342.3299866,123.5299988,125.4899979,260.5400085
6/20/2023,185.0099945,338.0499878,123.0999985,125.7799988,274.4500122
6/21/2023,183.9600067,333.5599976,120.5500031,124.8300018,259.4599915
6/22/2023,187,339.7099915,123.1500015,130.1499939,264.6099854
6/23/2023,186.6799927,335.019989,122.3399963,129.3300018,256.6000061
6/26/2023,185.2700043,328.6000061,118.3399963,127.3300018,241.0500031
6/27/2023,188.0599976,334.5700073,118.3300018,129.1799927,250.2100067
6/28/2023,189.25,335.8500061,120.1800003,129.0399933,256.2399902
6/29/2023,189.5899963,335.0499878,119.0999985,127.9000015,257.5
6/30/2023,193.9700012,340.5400085,119.6999969,130.3600006,261.769989
7/3/2023,192.4600067,337.9899902,119.9000015,130.2200012,279.8200073
7/5/2023,191.3300018,338.1499939,121.75,130.3800049,282.480011
7/6/2023,191.8099976,341.269989,120.1100006,128.3600006,276.5400085
7/7/2023,190.6799927,337.2200012,119.4800034,129.7799988,274.4299927
7/10/2023,188.6100006,331.8299866,116.4499969,127.1299973,269.6099854
7/11/2023,188.0800018,332.4700012,117.1399994,128.7799988,269.7900085
7/12/2023,189.7700043,337.2000122,118.9300003,130.8000031,271.9899902
7/13/2023,190.5399933,342.6600037,124.5400009,134.3000031,277.8999939
7/14/2023,190.6900024,345.2399902,125.4199982,134.6799927,281.3800049
7/17/2023,193.9900055,345.730011,124.6500015,133.5599976,290.3800049
7/18/2023,193.7299957,359.4899902,123.7600021,132.8300018,293.3399963
7/19/2023,195.1000061,355.0799866,122.0299988,135.3600006,291.2600098
7/20/2023,193.1300049,346.8699951,119.1999969,129.9600067,262.8999939
7/21/2023,191.9400024,343.769989,120.0199966,130,260.019989
7/24/2023,192.75,345.1099854,121.5299988,128.8000031,269.0599976
7/25/2023,193.6199951,350.980011,122.2099991,129.1300049,265.2799988
7/26/2023,194.5,337.769989,129.2700043,128.1499939,264.3500061
7/27/2023,193.2200012,330.7200012,129.3999939,128.25,255.7100067
7/28/2023,195.8300018,338.3699951,132.5800018,132.2100067,266.4400024
7/31/2023,196.4499969,335.9200134,132.7200012,133.6799927,267.4299927
8/1/2023,195.6100006,336.3399963,131.5500031,131.6900024,261.0700073
8/2/2023,192.5800018,327.5,128.3800049,128.2100067,254.1100006
8/3/2023,191.1699982,326.6600037,128.4499969,128.9100037,259.3200073
8/4/2023,181.9900055,327.7799988,128.1100006,139.5700073,253.8600006
8/7/2023,178.8500061,330.1099854,131.5299988,142.2200012,251.4499969
8/8/2023,179.8000031,326.0499878,131.3999939,139.9400024,249.6999969
8/9/2023,178.1900024,322.230011,129.6600037,137.8500061,242.1900024
8/10/2023,177.9700012,322.9299927,129.6900024,138.5599976,245.3399963
8/11/2023,177.7899933,321.0100098,129.5599976,138.4100037,242.6499939
8/14/2023,179.4600067,324.0400085,131.3300018,140.5700073,239.7599945
8/15/2023,177.4499969,321.8599854,129.7799988,137.6699982,232.9600067
8/16/2023,176.5700073,320.3999939,128.6999969,135.0700073,225.6000061
8/17/2023,174,316.8800049,129.9199982,133.9799957,219.2200012
8/18/2023,174.4900055,316.480011,127.4599991,133.2200012,215.4900055
8/21/2023,175.8399963,321.8800049,128.3699951,134.6799927,231.2799988
8/22/2023,177.2299957,322.4599915,129.0800018,134.25,233.1900024
8/23/2023,181.1199951,327,132.3699951,135.5200043,236.8600006
8/24/2023,176.3800049,319.9700012,129.7799988,131.8399963,230.0399933
8/25/2023,178.6100006,322.980011,129.8800049,133.2599945,238.5899963
8/28/2023,180.1900024,323.7000122,131.0099945,133.1399994,238.8200073
8/29/2023,184.1199951,328.4100037,134.5700073,134.9100037,257.1799927
8/30/2023,187.6499939,328.7900085,135.8800049,135.0700073,256.8999939
8/31/2023,187.8699951,327.7600098,136.1699982,138.0099945,258.0799866
8/30/2023,187.6499939,328.7900085,135.8800049,135.0700073,256.8999939
8/31/2023,187.8699951,327.7600098,136.1699982,138.0099945,258.0799866
